"p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32"
"11-Jan-2019 00:00:00","13:36:10","102","Ottawa-Carling                                    ","ON","Ontario   ","35614478","K2A","0","3232897190782493379","Regular Sale","2503","1","4462","Creamy Chicken Pot Pie                            ","3.9900","0.0000","2.0000","3.9900","3.9900","2.0000","1","3.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","    ","   "
"14-Jan-2019 00:00:00","11:00:56","485","Grande Prairie-Cobblestone","AB","Western","79539920","T8V","1","5004646894834576040","Regular Sale","4135","2","707","Diced Onions                                      ","4.9900","0.0000","2.7900","4.9900","4.9900","2.7900","1","4.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","    ","   "
"15-Jan-2019 00:00:00","12:13:16","397","Gatineau-Maloney Est","QC","Quebec    ","5606876","J8R","0","2749401721014452852","Regular Sale","814","1","662","TOO TALL® Strawberry Shortcake                    ","16.9900","0.0000","10.3600","16.9900","16.9900","10.3600","1","16.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","    ","   "
"28-Jan-2019 00:00:00","11:53:11","525","Edmonton-Harvest Pointe","AB","Western","74639097","T8N","0","-5363166542150768660","Regular Sale","6965","1","530","Classic French Style Quiche                       ","4.4900","0.0000","2.1125","4.4900","4.4900","2.1125","1","4.4900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","T","9A24","   "
"28-Jan-2019 00:00:00","11:53:11","525","Edmonton-Harvest Pointe","AB","Western","74639097","T8N","0","-5363166542150768660","Regular Sale","6965","8","437","6 Cheese Tortellini                               ","3.9900","0.0000","2.5400","3.9900","3.7500","2.5400","1","3.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","T","9A24","   "
"28-Jan-2019 00:00:00","12:55:05","31","Kingston-Gardiners","ON","Ontario   ","63283881","K0H","0","-8408536905584650106","Regular Sale","7086","3","709","Vegetable Supreme                                 ","4.4900","0.0000","2.6000","4.4900","4.4900","2.6000","1","4.4900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","    ","   "
"06-Jan-2019 00:00:00","14:10:05","181","Val-d'Or","QC","Quebec    ","1824416","J9P","1","7264215197189887272","Regular Sale","7138","3","4759","Thermal Premium Bag French                        ","6.9900","0.0000","4.7420","6.9900","5.9400","4.7420","1","5.9400","0.0000","0.5243","0.0000","1.0500","0.0000","0.0000"," ","    ","   "
"06-Jan-2019 00:00:00","14:10:05","181","Val-d'Or","QC","Quebec    ","1824416","J9P","1","7264215197189887272","Regular Sale","7138","6","567","Chicken Pad Thai                                  ","4.4900","0.0000","2.4100","4.4900","3.8200","2.4100","1","3.8200","0.0000","0.3368","0.0000","0.6700","0.0000","0.0000"," ","    ","   "
"18-Jan-2019 00:00:00","16:15:44","82","Mississauga Dixie & Dundas","ON","Ontario","74814419","L8V","0","6081405027428575742","Regular Sale","8038","3","419","Shepherd`s Pie 2lb                                ","9.9900","0.0000","5.7150","9.9900","9.9900","5.7150","1","9.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","T","9A17","   "
"11-Jan-2019 00:00:00","11:06:27","345","Uxbridge","ON","Ontario   ","75002220","L1W","0","-4445660509401934322","Regular Sale","1481","2","482","M&M Supreme Homestyle Lasagna 2lb                 ","10.9900","0.0000","5.7700","10.9900","10.9900","5.7700","1","10.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","T","9A10","   "
"18-Jan-2019 00:00:00","15:05:34","534","Ancaster","ON","Ontario","75021220","L9G","0","1109431957606156859","Regular Sale","3604","3","419","Shepherd`s Pie 2lb                                ","9.9900","0.0000","5.7150","9.9900","9.9900","5.7150","1","9.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","T","9A17","   "
"06-Jan-2019 00:00:00","10:31:44","525","Edmonton-Harvest Pointe","AB","Western","75029819","T5H","0","7216249668816276959","Regular Sale","5777","1","165","Dry Garlic Pork                                   ","11.9900","0.0000","6.8363","11.9900","11.9900","6.8363","1","11.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","    ","   "
