map_id,county,density
113,Dallas,1155.8
201,Harris,1070.1
439,Tarrant,941.8
29,Bexar,625.5
453,Travis,501.1
85,Collin,488.5
121,Denton,398.4
157,Fort Bend,368.7
167,Galveston,357.0
141,El Paso,329.9
397,Rockwall,327.3
339,Montgomery,229.9
215,Hidalgo,214.0
491,Williamson,210.7
61,Cameron,182.3
183,Gregg,175.5
355,Nueces,162.5
41,Brazos,154.0
209,Hays,137.5
27,Bell,135.8
303,Lubbock,133.9
245,Jefferson,113.0
91,Comal,111.4
39,Brazoria,105.4
361,Orange,98.1
423,Smith,97.8
309,McLennan,97.1
251,Johnson,95.8
187,Guadalupe,93.8
485,Wichita,79.6
139,Ellis,79.4
329,Midland,72.9
257,Kaufman,71.9
135,Ector,71.0
367,Parker,63.3
441,Taylor,60.4
381,Randall,59.5
221,Hood,56.5
181,Grayson,56.1
375,Potter,50.4
231,Hunt,45.9
473,Waller,42.7
21,Bastrop,42.3
5,Angelina,41.8
37,Bowie,40.5
469,Victoria,40.0
409,San Patricio,38.3
471,Walker,37.6
7,Aransas,36.5
213,Henderson,36.3
55,Caldwell,32.5
479,Webb,30.7
291,Liberty,30.5
99,Coryell,30.5
451,Tom Green,30.4
71,Chambers,30.1
449,Titus,29.7
203,Harrison,29.5
497,Wise,29.3
467,Van Zandt,27.3
459,Upshur,27.1
499,Wood,26.8
347,Nacogdoches,26.4
259,Kendall,25.8
63,Camp,24.6
199,Hardin,24.4
493,Wilson,23.9
477,Washington,22.9
401,Rusk,21.8
277,Lamar,21.3
1,Anderson,21.0
427,Starr,20.8
379,Rains,20.5
349,Navarro,20.1
425,Somervell,19.1
53,Burnet,19.1
407,San Jacinto,18.6
223,Hopkins,18.5
73,Cherokee,18.5
265,Kerr,18.4
97,Cooke,18.4
343,Morris,18.3
373,Polk,18.3
15,Austin,18.0
323,Maverick,17.5
249,Jim Wells,17.4
49,Brown,15.6
147,Fannin,15.5
13,Atascosa,15.5
57,Calhoun,15.3
143,Erath,15.2
227,Howard,14.9
481,Wharton,14.8
325,Medina,14.8
217,Hill,14.4
185,Grimes,14.4
159,Franklin,14.1
273,Kleberg,13.6
25,Bee,13.6
241,Jasper,13.6
489,Willacy,13.2
321,Matagorda,12.8
189,Hale,12.5
67,Cass,11.7
419,Shelby,11.7
281,Lampasas,11.7
363,Palo Pinto,11.5
313,Madison,11.1
365,Panola,10.7
287,Lee,10.7
51,Burleson,10.3
19,Bandera,10.2
315,Marion,9.9
149,Fayette,9.9
171,Gillespie,9.8
293,Limestone,9.4
331,Milam,9.4
219,Hockley,9.2
341,Moore,9.2
233,Hutchinson,9.0
179,Gray,8.9
299,Llano,8.8
145,Falls,8.6
161,Freestone,8.5
123,DeWitt,8.4
337,Montague,8.3
457,Tyler,8.3
89,Colorado,8.3
253,Jones,8.2
285,Lavaca,8.1
119,Delta,7.9
403,Sabine,7.8
455,Trinity,7.6
255,Karnes,7.6
395,Robertson,7.6
503,Young,7.5
133,Eastland,7.4
35,Bosque,7.2
415,Scurry,7.2
177,Gonzales,7.1
239,Jackson,7.0
225,Houston,6.9
163,Frio,6.3
31,Blanco,6.2
353,Nolan,6.2
463,Uvalde,6.1
59,Callahan,5.9
405,San Augustine,5.8
465,Val Verde,5.8
289,Leon,5.7
165,Gaines,5.6
93,Comanche,5.6
475,Ward,5.4
505,Zapata,5.4
115,Dawson,5.3
445,Terry,5.1
487,Wilbarger,5.1
351,Newton,5.1
279,Lamb,5.0
3,Andrews,4.8
117,Deaf Smith,4.8
387,Red River,4.3
369,Parmer,4.3
357,Ochiltree,4.2
297,Live Oak,4.2
429,Stephens,3.9
335,Mitchell,3.8
193,Hamilton,3.8
9,Archer,3.7
75,Childress,3.7
501,Yoakum,3.7
77,Clay,3.6
237,Jack,3.6
495,Winkler,3.6
399,Runnels,3.6
391,Refugio,3.4
175,Goliad,3.2
69,Castro,3.2
17,Bailey,3.2
437,Swisher,3.0
507,Zavala,2.9
47,Brooks,2.9
307,McCulloch,2.8
169,Garza,2.5
127,Dimmit,2.5
65,Carson,2.4
305,Lynn,2.4
103,Crane,2.3
83,Coleman,2.3
207,Haskell,2.3
333,Mills,2.3
317,Martin,2.2
107,Crosby,2.2
195,Hansford,2.2
389,Reeves,2.2
483,Wheeler,2.1
153,Floyd,2.1
131,Duval,2.1
197,Hardeman,2.0
411,San Saba,1.9
111,Dallam,1.8
283,La Salle,1.7
319,Mason,1.6
247,Jim Hogg,1.6
151,Fisher,1.6
385,Real,1.5
275,Knox,1.5
23,Baylor,1.5
205,Hartley,1.4
129,Donley,1.4
211,Hemphill,1.4
81,Coke,1.4
79,Cochran,1.3
417,Shackelford,1.3
295,Lipscomb,1.3
95,Concho,1.3
267,Kimble,1.3
191,Hall,1.2
371,Pecos,1.2
421,Sherman,1.2
87,Collingsworth,1.1
383,Reagan,1.1
461,Upton,1.0
271,Kinney,0.9
435,Sutton,0.9
125,Dickens,0.8
327,Menard,0.8
11,Armstrong,0.8
413,Schleicher,0.7
155,Foard,0.6
45,Briscoe,0.6
447,Throckmorton,0.6
43,Brewster,0.6
101,Cottle,0.6
235,Irion,0.6
431,Sterling,0.6
377,Presidio,0.6
359,Oldham,0.5
433,Stonewall,0.5
173,Glasscock,0.5
105,Crockett,0.4
345,Motley,0.4
229,Hudspeth,0.3
33,Borden,0.3
263,Kent,0.3
393,Roberts,0.3
243,Jeff Davis,0.3
137,Edwards,0.3
311,McMullen,0.2
109,Culberson,0.2
269,King,0.1
443,Terrell,0.1
261,Kenedy,0.1
301,Loving,0.0
