Foodmart - Sales by Product Category,,,,,
Top 15 categories by store sales (1998),,,,,
,Category,Sales,,Units,
,Vegetables,"134,673.85",,"61,706",
,Snack Foods,"130,231.03",,"58,634",
,Dairy,"71,066.84",,"32,421",
,Meat,"58,307.64",,"26,263",
,Fruit,"54,900.71",,"26,219",
,Jams and Jellies,"44,203.00",,"22,565",
,Bread,"31,961.54",,"14,982",
,Electrical,"31,460.23",,"13,218",
,Baking Goods,"30,763.37",,"16,378",
,Breakfast Foods,"30,557.53",,"16,549",
,Canned Soup,"29,546.47",,"14,763",
,Paper Products,"28,860.87",,"13,018",
,Candy,"27,790.13",,"13,212",
,Beer and Wine,"27,107.99",,"13,069",
,Bathroom Products,"25,869.38",,"13,336",
Foodmart - Sales by Product Category,,,Page 1 of,, 1
